,Libro,Autor,Sinopsis
24,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,Decía el profesor Francisco Grande Covián: La difusión de los conocimientos científicos sobre nutrición es el camino más eficaz para salir de la confusión en la que el público se encuentra sumergido.El profesor Grande no se conformaba con hacer cien
25,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Decía el profesor Francisco Grande Covián: La difusión de los conocimientos científicos sobre nutrición es el camino más eficaz para salir de la confusión en la que el público se encuentra sumergido.El profesor Grande no se conformaba con hacer ciencia, sino que creia que era una obligacion el comunicarla no solo a otros cientificos mediante la publicacion de articulo cientificos sino tambien divulgarla a los consumidores."
26,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,
27,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Los cereales (alforfón, amaranto, arroz, ventana, canihua, cebada, centeno, maíz, mijo panizo, quinoa, sorgo, trigo y triticale), los azúcares y los cacaos y sus derivados (chocolate, miel...) son los productos analizados en este volumen de las Guias de Alimentacion y Nutricion, en el que Karlos Arguiñano y un equipo de expertos en dietetica y nutricion analizan sus propiedades nutritivas y alimenticias y su uso en aperitivos, desayunos, bolleria, pasteleria y reposteria."
28,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Cuarto volumen de esta colección de Karlos Arguiñano ilustrada a todo color, que proporciona una información práctica y rigurosa sobre todos los alimentos y que contiene datos que rara vez aparecen en los libros de cocina. Este volumen dedicado a las verduras, hortalizas y legumbres nos proporciona consejos para su compra y conservacion y ademas nos indica cuales son los productos que podemos encontrar en cada temporada."
29,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"En este tomo de las Guías de Alimentación y Nutrición, Karlos Arguiñano y el equipo de expertos que han trabajado en la obra nos hablan de los lácteos y huevos, dos productos básicos en cualquier cocina, y distinguen las caracteristicas y propiedades de cada uno: la leche y los huevos, y sus derivados: la mantequilla, quesos... Analizan su valor nutritivo y su importancia para la salud, indicando las ventajas e inconvenientes que tienen para cada persona. Aconsejan sobre las mejores formas de comprarlos y nos enseñan los metodos idoneos para conservarlos, e incluyen una amplia informacion sobre la gran variedad de quesos y sus propiedades nutritivas, asi como su empleo a lo largo de la historia."
30,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Fruto de más de tres años de trabajo, Guías de alimentación y nutrición es un proyecto conjunto de nutrólogos, dietistas, farmacéuticos, biólogos y tecnólogos de alimentos coordinados por Karlos Arguiñano -que pone su saber gastronomico y sus exquisitas recetas- para proporcionar a todos los amantes de la buena mesa una completa informacion sobre los alimentos que muchas veces no aparece en los libros de cocina y que resulta muy util conocer: historia, valor nutritivo, consejos para la compra, efectos sobre el organismo, empleo culinario..."
31,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"¿Quieres uno de los 50 ejemplares firmados que tenemos por Karlos Arguiñano?Karlos Arguiñano se ha propuesto meter en la cocina a quienes nunca la pisan, a divulgar el placer no ya de comer un buen plato, sino de elaborarlo. Cocinar como forma de divertirse, compartir, probar y experimentar. Un espacio que nos aleja del estrés de la vida cotidiana y que nos permite gozar con nuestras propias creaciones. Aprende a pochar, sofreír, reducir, escaldar, macerar; elaborar una buena salsa, preparar una masa, marinar una carne; combinar ingredientes, gestionar tiempos de cocción, potenciar sabores. Pensado para enseñar a los que no saben y para convertir en grandes cocineros a quienes ya dominan el arte de la cocina. Una obra de referencia para tener siempre a mano, que nos descubre el universo infinito de posibilidades que unos pocos ingredientes ofrecen y que incluye también algunas de las recetas favoritas de Karlos. Ordenado por ingredientes, aprenderemos a sacarle a cada uno de ellos el mejor partido, y a elaborar desde sencillos platos para un almuerzo hasta grandes banquetes para las ocasiones especiales."
32,"[[' '], ['\n            Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de EL ARTE DE LA COCINA FRANCESA\n      '], [' '], ['Nº de páginas:'], [' '], ['856'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499922973'], ['Año de edición:'], [' '], ['2013'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' CARME GERONÉS PLANAGUMÀ'], ['Fecha de lanzamiento:'], [' '], ['17/10/2013']]",Karlos Arguiñano,"Dividido por estaciones, un libro con ideas culinarias para comer bien los 365 días del añoA falta de ideas, bueno es un recetario. Sabedor de que cada vez tenemos menos tiempo para pensar qué hacer para comer, Karlos Arguiñano nos propone 365 menús completos para que no repitamos plato ni un solo día del año. Raviolis de queso y zanahoria, dorada con arroz verde, codornices con plátano o lasaña de berenjena. En total, más de 365 menús con primero, segundo y postre, 1095 recetas divididas por estaciones que ponen siempre el acento en los productos frescos y de temporada. Además, el libro propone menús especiales -solomillo Wellington, arroz con nécora o rabo guisado, entre otros- para las fechas más sonadas del calendario, como las Navidades."
33,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Karlos Arguiñano,
34,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Karlos Arguiñano,"La cocina palestina es un claro reflejo de su historia. Se ha visto influenciada por las culturas y civilizaciones que se asentaron en esta región, particularmente durante los períodos islámicos, que culminaron en la fuerte influencia de la cocina turca. Es similar a otras cocinas levantinas, incluidas las del Libano, Siria y Jordania. No obstante, la cocina gazati ha creado su propia identidad, influenciada por su vecino Egipto, su ubicacion privilegiada en la costa mediterranea y por los platos tradicionales de la Palestina historica. Estos ultimos llegaron con los refugiados que, durante la guerra arabe-israeli de 1948, se instalaron en esta pequeña franja costera y aportaron un rico conocimiento culinario del uso de los elementos basicos de la cocina palestina, como son el aceite de oliva, las aceitunas, las legumbres, el yogur, las verduras de temporada y la carne. Gaza fue, ademas, un enclave importante en la ruta de las especias, un enlace entre el sur de Arabia y el Mediterraneo, y este hecho ha dejado su huella en los cultivos de especias y en el sabor y aroma de sus comidas de hoy dia."
35,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Karlos Arguiñano,"¿Conoces el método del plato? Es una herramienta muy fácil de utilizar que te ayudará a planificar tus comidas y cenas y a asegurarte que sean nutricionalmente completas y equilibradas teniendo en cuenta una relacion entre los tres principales grupos de alimentos: 1/2 verduras y hortalizas, 1/4 proteinas, 1/4 hidratos de carbono. En este libro, la dietista-nutricionista Adriana Oroz Lacunza te explica como incorporar este metodo en tu menu semanal y te brida mas de 60 recetas deliciosas y sencillas que te ayudaran a comer variado, saludable y a organizarte para cocinar y conseguir el objetivo que te propongas. Siguiendo sus consejos conseguiras:- Mejorar la calidad de tu alimentacion diaria.- Planificar menus para comer variado.- Aprender a cocinar de manera eficiente para toda la semana siguiendo una planificacion organizada. Con este metodo podras comer de forma variada y seguir un estilo de vida saludable de ahora para siempre."
36,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Maggie Schmitt,"¿Conoces el método del plato? Es una herramienta muy fácil de utilizar que te ayudará a planificar tus comidas y cenas y a asegurarte que sean nutricionalmente completas y equilibradas teniendo en cuenta una relacion entre los tres principales grupos de alimentos: 1/2 verduras y hortalizas, 1/4 proteinas, 1/4 hidratos de carbono.En este libro, la dietista-nutricionista Adriana Oroz Lacunza te explica como incorporar este metodo en tu menu semanal y te brida mas de 60 recetas deliciosas y sencillas que te ayudaran a comer variado, saludable y a organizarte para cocinar y conseguir el objetivo que te propongas.Siguiendo sus consejos conseguiras:- Mejorar la calidad de tu alimentacion diaria.- Planificar menus para comer variado.- Aprender a cocinar de manera eficiente para toda la semana siguiendo una planificacion organizada.Con este metodo podras comer de forma variada y seguir un estilo de vida saludable de ahora para siempre."
37,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Laila El-Haddad,"Más de 70 recetas inspiradas enFriends, una serie que ha hecho historia en la televisión mundial, seguida por millones de espectadores.REUNID A VUESTROS AMIGOS y preparaos para decir: «¿Cómo va eso?»"
38,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Adriana Oroz Lacunza,"En Recetas del Mundo de Tolkien encontrarás más de setenta y cinco deliciosas recetas que te harán viajar por la Tierra media a través del paladar y de la imaginación. Descubre el pan de sidra de manzana de Cricava, el almuerzo de Pippin en Minas Tirith o el pastel de pescado del rio Brandivino. Sumergete en la epica del mundo fantastico de Tolkien con estas recetas basadas en los lugares y personajes de sus historias. Podras preparar un festin que hara las delicias tanto de orcos como de elfos. Recetas deliciosas, con distintos niveles de dificultad e ingredientes faciles de encontrar que te trasladaran, bocado a bocado, a los hermosos paisajes de la Tierra Media. Amplia tus horizontes culinarios elaborando riquisimos platos de las tierras de los hobbits o los elfos."
39,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Adriana Oroz Lacunza,"Candy es un destilado de la cocina dulce creada en los restaurantes de elBarri a largo de toda una decada (2011-2021). La última fase de su confección coincidió con la clausura de elBarri: ese irrepetible parque de atracciones gastronomico del que formaban parte Tickets, Bodega 1900, Hoja Santa, Pakta y Enigma. Para Albert Adria y David Gil &#x02014;alma mater y jefe de pasteleria de elBarri, respectivamente&#x02014;, este libro representa un alto en mitad de sus carreras, una pausa que ha traido consigo un bien de incalculable valor: la oportunidad de volver la vista atras, de evaluar los exitos alcanzados y replantearse las proximas metas. Hemos querido que Candy se exprese de dos maneras distintas: mediante un libro con las fotografias de los postres, acompañadas de una breve explicacion de su concepto para que las imagenes hablen por si mismas; y mediante un recetario, en el cual se explica de forma detallada la elaboracion de cada plato."
40,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Amanda Yee,
41,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Robert Tuelsey Anderson,"El restaurante Tickets, en Barcelona, es «un Bulli de barrio», como lo ha definido su creador, Albert Adrià. Para este prestigioso chef, el tapeo está indudablemente asociado a la fiesta, la sorpresa"
42,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Albert Adria,"El principio de esta obra coincide con la llegada de Ferran Adrià a El Bulli, en agosto de 1983. Allí estaba Juli Soler,i a ambos se sumaría Albert Adrià en 1985. Son veinte años de cocina,que se han"
43,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",David Gil,"El principio de esta obra coincide con la llegada de Ferran Adrià a El Bulli, en agosto de 1983. Allí estaba Juli Soler,i a ambos se sumaría Albert Adrià en 1985. Son veinte años de cocina,que se han"
44,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Ferran Adria,"'A Day At ElBulli' takes an exclusive look behind the scenes of elBulli - the best restaurant in the world, created by Ferran Adria, the best chef in the world."""
45,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Albert Adria,
46,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Albert Adria,"Natura es el proyecto soñado de Albert Adrià, un camino que le ha llevado a investigar durante dos años y medio nuevas maneras de expresarse a traves de la elaboración de postres. El resultado son 49"
47,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Albert Adria,"El principio de esta obra coincide con la llegada de Ferran Adrià a El Bulli, en agosto de 1983. Allí estaba Juli Soler,i a ambos se sumaría Albert Adrià en 1985. Son veinte años de cocina,que se han"
48,"[[' '], ['\n            Ficha técnica de RECETAS PARA EL BUEN SEXO\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de RECETAS PARA EL BUEN SEXO\n      '], [' '], ['Nº de páginas:'], [' '], ['240'], ['Editorial:'], [' '], ['EDICIONES I'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa blanda'], ['ISBN:'], [' '], ['9788496851405'], ['Año de edición:'], [' '], ['2011'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['01/05/2011']]",Ferran Adria,"El principio de esta obra coincide con la llegada de Ferran Adrià a El Bulli, en agosto de 1983. Allí estaba Juli Soler, y a ambos se sumaría Albert Adrià en 1985. Son veinte años de cocina, que se h"
49,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Soler Soler,
50,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"The first book to record elBullis final and most creative years.Over 2,500 pages drawn from the meticulously documented personal archives of Ferran Adria.Seven volumes, presented in a custom slipcase, bring elBulli to life and provide the only way to experience what is still considered to be the most innovative restaurant in the world.Closely examines the techniques and technologies that helped the elBulli team redefine the course of contemporary gastronomy.Captures a vital moment in culinary history when Ferran shifted the way we codify cuisine and think about the creative process.The first six volumes contain over 700 recipes created from 20052011, each with a stunning photograph.The seventh volume provides an evolutionary analysis of the restaurant, outlining Ferrans creative process and allowing readers to cross reference recipes by season, technique and technology.elBulli 2005-2011 presents for the first time the collection of dishes from the iconic elBulli in Roses, Spain, during its final years as a restaurant. Voted Best Restaurant in the World five times, elBulli was the worlds most sought-after restaurant and was legendary for the gastronomic innovations of its head chef, Ferran Adria. Every year the menu was completely different, and over a hundred brand new dishes were developed by the creative team at the elBulli workshop in Barcelona. The dishes were created over a six-month period using innovative techniques and concepts that pushed the boundaries of high-end restaurant cuisine. A catalogue of the restaurants remarkable creative evolution during its final years, elBulli 2005-2011 provides detailed recipes and colour photographs for each new dish, as well as analysis of the creative methods and explanations of new techniques."
